,Team,Actual_Score,Year,Predicted_Score
58,CHI,10.0,1998,2.1901593035067455
59,UTA,7.0,1998,2.906797731849509
60,IND,4.0,1998,1.7049459209117197
61,LAL,4.0,1998,3.1671757355829397
62,CHO,2.0,1998,2.33718018900412
63,NYK,2.0,1998,0.8018996667671505
64,OKC,2.0,1998,3.0801047981177527
65,SAS,2.0,1998,1.1382213482066037
66,ATL,1.0,1998,3.2456764957697777
67,BRK,1.0,1998,1.1093617171725958
68,CLE,1.0,1998,1.6696163828693766
69,HOU,1.0,1998,1.3471936359941816
70,MIA,1.0,1998,1.327546756793991
71,MIN,1.0,1998,1.6108020507887897
72,PHO,1.0,1998,2.655631523734181
73,POR,1.0,1998,0.47549877596443846
74,BOS,0.0,1998,1.5770750635351716
75,DAL,0.0,1998,-1.0984050221989068
76,DEN,0.0,1998,-1.5125455639848986
77,DET,0.0,1998,0.22378876491605304
78,GSW,0.0,1998,-0.8957611551095255
79,LAC,0.0,1998,-0.6297276398330132
80,MEM,0.0,1998,1.1875127529321938
81,MIL,0.0,1998,0.4811253965844622
82,ORL,0.0,1998,-0.28280992323071663
83,PHI,0.0,1998,0.40201838132934187
84,SAC,0.0,1998,0.28283744251623055
85,TOR,0.0,1998,-0.23921788211619743
86,WAS,0.0,1998,1.4833670568223303
87,SAS,10.0,1999,2.2025167903859986
88,NYK,7.0,1999,0.06264871817500683
89,IND,4.0,1999,0.5286246486789952
90,POR,4.0,1999,1.2803594532684892
91,ATL,2.0,1999,2.829747025560673
92,LAL,2.0,1999,1.6306587906539036
93,PHI,2.0,1999,0.7509926879732043
94,UTA,2.0,1999,2.189509408485014
95,DET,1.0,1999,1.3485797796641625
96,HOU,1.0,1999,1.5276569575393957
97,MIA,1.0,1999,0.7671208844805668
98,MIL,1.0,1999,1.448302697664512
99,MIN,1.0,1999,1.1242875460731159
100,ORL,1.0,1999,1.5949713104778587
101,PHO,1.0,1999,2.398972014531405
102,SAC,1.0,1999,1.4111295311017473
103,BOS,0.0,1999,0.515690005275939
104,BRK,0.0,1999,-0.15094904985194413
105,CHO,0.0,1999,0.9378552117492918
106,CHI,0.0,1999,-1.147826837705746
107,CLE,0.0,1999,0.10096539732203391
108,DAL,0.0,1999,-0.1587479227598818
109,DEN,0.0,1999,-0.6876281952847454
110,GSW,0.0,1999,0.732132762400294
111,LAC,0.0,1999,-1.5999225395832612
112,MEM,0.0,1999,-0.5351283542848453
113,OKC,0.0,1999,1.026689893554777
114,TOR,0.0,1999,0.5208346478858865
115,WAS,0.0,1999,0.4471726633623887
116,LAL,10.0,2000,3.17278965243582
117,IND,7.0,2000,1.8236921981995895
118,NYK,4.0,2000,0.6066419842373811
119,POR,4.0,2000,2.8785796852133787
120,MIA,2.0,2000,2.080176910948793
121,PHI,2.0,2000,2.025619484055238
122,PHO,2.0,2000,2.3640255978695475
123,UTA,2.0,2000,2.391778111655876
124,CHO,1.0,2000,2.9274141206955315
125,DET,1.0,2000,1.1028547895969685
126,MIL,1.0,2000,1.4454112091336344
127,MIN,1.0,2000,2.385848355989805
128,OKC,1.0,2000,1.29300298321661
129,SAC,1.0,2000,1.8641721643238243
130,SAS,1.0,2000,2.9009632788204787
131,TOR,1.0,2000,1.3736333888654784
132,ATL,0.0,2000,2.6012256047197093
133,BOS,0.0,2000,1.2711872483528972
134,BRK,0.0,2000,0.4907031756842195
135,CHI,0.0,2000,-0.7568195192989722
136,CLE,0.0,2000,0.8710676086961047
137,DAL,0.0,2000,0.8702417330188106
138,DEN,0.0,2000,0.7606942186474814
139,GSW,0.0,2000,0.7521255614636133
140,HOU,0.0,2000,1.1681106573305118
141,LAC,0.0,2000,-1.2130110467619284
142,MEM,0.0,2000,0.5259986936796675
143,ORL,0.0,2000,1.4843549928795663
144,WAS,0.0,2000,0.8039270851075604
145,LAL,10.0,2001,2.507789715530557
146,PHI,7.0,2001,2.6412544882655564
147,MIL,4.0,2001,1.9602043066378023
148,SAS,4.0,2001,3.6926884077498676
149,CHO,2.0,2001,2.3440266420707383
150,DAL,2.0,2001,1.4866107165558913
151,SAC,2.0,2001,2.3132599245656627
152,TOR,2.0,2001,1.7313253721907662
153,IND,1.0,2001,1.0299258023628401
154,MIA,1.0,2001,0.640063656789619
155,MIN,1.0,2001,2.172016401975551
156,NYK,1.0,2001,0.7109097969684715
157,ORL,1.0,2001,0.35488662957574846
158,PHO,1.0,2001,1.4498270863009943
159,POR,1.0,2001,2.831336809659606
160,UTA,1.0,2001,2.487269727721908
161,ATL,0.0,2001,2.4708349091926403
162,BOS,0.0,2001,-0.02106516894086563
163,BRK,0.0,2001,-0.3028021662851803
164,CHI,0.0,2001,-0.37740950929321426
165,CLE,0.0,2001,0.9107398625137706
166,DEN,0.0,2001,1.2415605290112413
167,DET,0.0,2001,0.5920339494999012
