,Team,Score,Year
0,CHI,10,1996
1,OKC,7,1996
2,ORL,4,1996
3,UTA,4,1996
4,NYK,2,1996
5,ATL,2,1996
6,HOU,2,1996
7,SAS,2,1996
8,IND,1,1996
9,MIA,1,1996
10,CLE,1,1996
11,DET,1,1996
12,LAL,1,1996
13,PHO,1,1996
14,SAC,1,1996
15,POR,1,1996
0,CHI,10,1997
1,UTA,7,1997
2,MIA,4,1997
3,HOU,4,1997
4,ATL,2,1997
5,NYK,2,1997
6,OKC,2,1997
7,LAL,2,1997
8,DET,1,1997
9,WAS,1,1997
10,ORL,1,1997
11,CHO,1,1997
12,MIN,1,1997
13,POR,1,1997
14,PHO,1,1997
15,LAC,1,1997
0,CHI,10,1998
1,UTA,7,1998
2,IND,4,1998
3,LAL,4,1998
4,CHO,2,1998
5,NYK,2,1998
6,OKC,2,1998
7,SAS,2,1998
8,ATL,1,1998
9,BRK,1,1998
10,CLE,1,1998
11,MIA,1,1998
12,POR,1,1998
13,PHO,1,1998
14,MIN,1,1998
15,HOU,1,1998
0,SAS,10,1999
1,NYK,7,1999
2,IND,4,1999
3,POR,4,1999
4,PHI,2,1999
5,ATL,2,1999
6,UTA,2,1999
7,LAL,2,1999
8,DET,1,1999
9,MIL,1,1999
10,MIA,1,1999
11,ORL,1,1999
12,HOU,1,1999
13,PHO,1,1999
14,MIN,1,1999
15,SAC,1,1999
0,LAL,10,2000
1,IND,7,2000
2,NYK,4,2000
3,POR,4,2000
4,PHI,2,2000
5,MIA,2,2000
6,PHO,2,2000
7,UTA,2,2000
8,MIL,1,2000
9,DET,1,2000
10,TOR,1,2000
11,CHO,1,2000
12,SAC,1,2000
13,SAS,1,2000
14,MIN,1,2000
15,OKC,1,2000
0,LAL,10,2001
1,PHI,7,2001
2,MIL,4,2001
3,SAS,4,2001
4,CHO,2,2001
5,TOR,2,2001
6,SAC,2,2001
7,DAL,2,2001
8,MIA,1,2001
9,ORL,1,2001
10,IND,1,2001
11,NYK,1,2001
12,UTA,1,2001
13,POR,1,2001
14,PHO,1,2001
15,MIN,1,2001
0,LAL,10,2002
1,BRK,7,2002
2,BOS,4,2002
3,SAC,4,2002
4,DET,2,2002
5,CHO,2,2002
6,SAS,2,2002
7,DAL,2,2002
8,PHI,1,2002
9,ORL,1,2002
10,TOR,1,2002
11,IND,1,2002
12,MIN,1,2002
13,POR,1,2002
14,UTA,1,2002
15,OKC,1,2002
0,SAS,10,2003
1,BRK,7,2003
2,DET,4,2003
3,DAL,4,2003
4,PHI,2,2003
5,BOS,2,2003
6,SAC,2,2003
7,LAL,2,2003
8,IND,1,2003
9,ORL,1,2003
10,MIL,1,2003
11,NOP,1,2003
12,POR,1,2003
13,MIN,1,2003
14,UTA,1,2003
15,PHO,1,2003
0,DET,10,2004
1,LAL,7,2004
2,IND,4,2004
3,MIN,4,2004
4,BRK,2,2004
5,MIA,2,2004
6,SAS,2,2004
7,SAC,2,2004
8,MIL,1,2004
9,BOS,1,2004
10,NOP,1,2004
11,NYK,1,2004
12,HOU,1,2004
13,DEN,1,2004
14,DAL,1,2004
15,MEM,1,2004
0,SAS,10,2005
1,DET,7,2005
2,MIA,4,2005
3,PHO,4,2005
4,IND,2,2005
5,WAS,2,2005
6,DAL,2,2005
7,OKC,2,2005
8,PHI,1,2005
9,BOS,1,2005
10,BRK,1,2005
11,CHI,1,2005
12,HOU,1,2005
13,MEM,1,2005
14,DEN,1,2005
15,SAC,1,2005
0,MIA,10,2006
1,DAL,7,2006
2,DET,4,2006
3,PHO,4,2006
4,CLE,2,2006
5,BRK,2,2006
6,SAS,2,2006
7,LAC,2,2006
8,WAS,1,2006
9,MIL,1,2006
10,CHI,1,2006
11,IND,1,2006
12,MEM,1,2006
13,DEN,1,2006
14,LAL,1,2006
15,SAC,1,2006
0,SAS,10,2007
1,CLE,7,2007
2,DET,4,2007
3,UTA,4,2007
4,BRK,2,2007
5,CHI,2,2007
6,PHO,2,2007
7,GSW,2,2007
8,MIA,1,2007
9,WAS,1,2007
10,ORL,1,2007
11,TOR,1,2007
12,DAL,1,2007
13,LAL,1,2007
14,DEN,1,2007
15,HOU,1,2007
0,BOS,10,2008
1,LAL,7,2008
2,DET,4,2008
3,SAS,4,2008
4,CLE,2,2008
5,ORL,2,2008
6,UTA,2,2008
7,NOP,2,2008
8,ATL,1,2008
9,WAS,1,2008
10,PHI,1,2008
11,TOR,1,2008
12,DEN,1,2008
13,DAL,1,2008
14,PHO,1,2008
15,HOU,1,2008
0,LAL,10,2009
1,ORL,7,2009
2,CLE,4,2009
3,DEN,4,2009
4,ATL,2,2009
5,BOS,2,2009
6,DAL,2,2009
7,HOU,2,2009
8,MIA,1,2009
9,CHI,1,2009
10,DET,1,2009
11,PHI,1,2009
12,SAS,1,2009
13,NOP,1,2009
14,POR,1,2009
15,UTA,1,2009
0,LAL,10,2010
1,BOS,7,2010
2,ORL,4,2010
