,Team,Actual_Score,Year,Predicted_Score
58,CHI,10.0,1998,0.0
59,UTA,7.0,1998,4.0
60,IND,4.0,1998,1.0
61,LAL,4.0,1998,1.0
62,CHO,2.0,1998,4.0
63,NYK,2.0,1998,0.0
64,OKC,2.0,1998,0.0
65,SAS,2.0,1998,1.0
66,ATL,1.0,1998,2.0
67,BRK,1.0,1998,1.0
68,CLE,1.0,1998,0.0
69,HOU,1.0,1998,2.0
70,MIA,1.0,1998,2.0
71,MIN,1.0,1998,0.0
72,PHO,1.0,1998,1.0
73,POR,1.0,1998,0.0
74,BOS,0.0,1998,1.0
75,DAL,0.0,1998,1.0
76,DEN,0.0,1998,0.0
77,DET,0.0,1998,1.0
78,GSW,0.0,1998,0.0
79,LAC,0.0,1998,0.0
80,MEM,0.0,1998,0.0
81,MIL,0.0,1998,1.0
82,ORL,0.0,1998,0.0
83,PHI,0.0,1998,0.0
84,SAC,0.0,1998,0.0
85,TOR,0.0,1998,0.0
86,WAS,0.0,1998,0.0
87,SAS,10.0,1999,1.0
88,NYK,7.0,1999,0.0
89,IND,4.0,1999,0.0
90,POR,4.0,1999,0.0
91,ATL,2.0,1999,2.0
92,LAL,2.0,1999,1.0
93,PHI,2.0,1999,0.0
94,UTA,2.0,1999,7.0
95,DET,1.0,1999,0.0
96,HOU,1.0,1999,2.0
97,MIA,1.0,1999,1.0
98,MIL,1.0,1999,0.0
99,MIN,1.0,1999,1.0
100,ORL,1.0,1999,0.0
101,PHO,1.0,1999,1.0
102,SAC,1.0,1999,1.0
103,BOS,0.0,1999,1.0
104,BRK,0.0,1999,0.0
105,CHO,0.0,1999,0.0
106,CHI,0.0,1999,0.0
107,CLE,0.0,1999,0.0
108,DAL,0.0,1999,0.0
109,DEN,0.0,1999,0.0
110,GSW,0.0,1999,2.0
111,LAC,0.0,1999,0.0
112,MEM,0.0,1999,0.0
113,OKC,0.0,1999,0.0
114,TOR,0.0,1999,0.0
115,WAS,0.0,1999,0.0
116,LAL,10.0,2000,1.0
117,IND,7.0,2000,0.0
118,NYK,4.0,2000,10.0
119,POR,4.0,2000,2.0
120,MIA,2.0,2000,1.0
121,PHI,2.0,2000,1.0
122,PHO,2.0,2000,1.0
123,UTA,2.0,2000,2.0
124,CHO,1.0,2000,0.0
125,DET,1.0,2000,0.0
126,MIL,1.0,2000,1.0
127,MIN,1.0,2000,1.0
128,OKC,1.0,2000,1.0
129,SAC,1.0,2000,0.0
130,SAS,1.0,2000,1.0
131,TOR,1.0,2000,0.0
132,ATL,0.0,2000,2.0
133,BOS,0.0,2000,0.0
134,BRK,0.0,2000,4.0
135,CHI,0.0,2000,0.0
136,CLE,0.0,2000,0.0
137,DAL,0.0,2000,10.0
138,DEN,0.0,2000,0.0
139,GSW,0.0,2000,0.0
140,HOU,0.0,2000,1.0
141,LAC,0.0,2000,2.0
142,MEM,0.0,2000,0.0
143,ORL,0.0,2000,0.0
144,WAS,0.0,2000,0.0
145,LAL,10.0,2001,10.0
146,PHI,7.0,2001,0.0
147,MIL,4.0,2001,7.0
148,SAS,4.0,2001,1.0
149,CHO,2.0,2001,0.0
150,DAL,2.0,2001,1.0
151,SAC,2.0,2001,0.0
152,TOR,2.0,2001,1.0
153,IND,1.0,2001,7.0
154,MIA,1.0,2001,4.0
155,MIN,1.0,2001,1.0
156,NYK,1.0,2001,7.0
157,ORL,1.0,2001,0.0
158,PHO,1.0,2001,0.0
159,POR,1.0,2001,2.0
160,UTA,1.0,2001,2.0
161,ATL,0.0,2001,2.0
162,BOS,0.0,2001,0.0
163,BRK,0.0,2001,0.0
164,CHI,0.0,2001,0.0
165,CLE,0.0,2001,2.0
166,DEN,0.0,2001,4.0
167,DET,0.0,2001,0.0
168,GSW,0.0,2001,0.0
169,HOU,0.0,2001,1.0
170,LAC,0.0,2001,1.0
171,MEM,0.0,2001,0.0
172,OKC,0.0,2001,0.0
173,WAS,0.0,2001,0.0
174,LAL,10.0,2002,2.0
175,BRK,7.0,2002,1.0
176,BOS,4.0,2002,0.0
177,SAC,4.0,2002,10.0
178,CHO,2.0,2002,1.0
179,DAL,2.0,2002,0.0
180,DET,2.0,2002,1.0
181,SAS,2.0,2002,1.0
182,IND,1.0,2002,1.0
183,MIN,1.0,2002,4.0
184,OKC,1.0,2002,1.0
185,ORL,1.0,2002,0.0
186,PHI,1.0,2002,0.0
187,POR,1.0,2002,1.0
188,TOR,1.0,2002,0.0
189,UTA,1.0,2002,0.0
190,ATL,0.0,2002,2.0
191,CHI,0.0,2002,0.0
192,CLE,0.0,2002,4.0
193,DEN,0.0,2002,0.0
194,GSW,0.0,2002,0.0
195,HOU,0.0,2002,0.0
196,LAC,0.0,2002,1.0
197,MEM,0.0,2002,0.0
198,MIA,0.0,2002,1.0
199,MIL,0.0,2002,4.0
200,NYK,0.0,2002,2.0
201,PHO,0.0,2002,0.0
202,WAS,0.0,2002,0.0
203,SAS,10.0,2003,0.0
204,BRK,7.0,2003,1.0
205,DAL,4.0,2003,0.0
206,DET,4.0,2003,1.0
207,BOS,2.0,2003,4.0
208,LAL,2.0,2003,1.0
209,PHI,2.0,2003,0.0
210,SAC,2.0,2003,10.0
211,IND,1.0,2003,1.0
212,MIL,1.0,2003,0.0
213,MIN,1.0,2003,1.0
214,NOP,1.0,2003,0.0
215,ORL,1.0,2003,0.0
216,PHO,1.0,2003,0.0
217,POR,1.0,2003,1.0
218,UTA,1.0,2003,1.0
219,ATL,0.0,2003,0.0
220,CHI,0.0,2003,0.0
221,CLE,0.0,2003,2.0
222,DEN,0.0,2003,0.0
223,GSW,0.0,2003,1.0
224,HOU,0.0,2003,1.0
225,LAC,0.0,2003,0.0
226,MEM,0.0,2003,2.0
227,MIA,0.0,2003,2.0
228,NYK,0.0,2003,0.0
229,OKC,0.0,2003,0.0
230,TOR,0.0,2003,0.0
231,WAS,0.0,2003,2.0
232,DET,10.0,2004,2.0
233,LAL,7.0,2004,1.0
234,IND,4.0,2004,2.0
235,MIN,4.0,2004,4.0
236,BRK,2.0,2004,2.0
237,MIA,2.0,2004,0.0
238,SAC,2.0,2004,1.0
239,SAS,2.0,2004,2.0
240,BOS,1.0,2004,0.0
241,DAL,1.0,2004,1.0
242,DEN,1.0,2004,0.0
243,HOU,1.0,2004,7.0
244,MEM,1.0,2004,2.0
245,MIL,1.0,2004,0.0
246,NOP,1.0,2004,0.0
247,NYK,1.0,2004,1.0
248,ATL,0.0,2004,0.0
249,CHI,0.0,2004,0.0
250,CLE,0.0,2004,1.0
251,GSW,0.0,2004,0.0
252,LAC,0.0,2004,1.0
253,OKC,0.0,2004,0.0
254,ORL,0.0,2004,0.0
255,PHI,0.0,2004,0.0
256,PHO,0.0,2004,1.0
257,POR,0.0,2004,0.0
258,TOR,0.0,2004,4.0
259,UTA,0.0,2004,1.0
260,WAS,0.0,2004,0.0
261,SAS,10.0,2005,1.0
262,DET,7.0,2005,0.0
263,MIA,4.0,2005,4.0
264,PHO,4.0,2005,2.0
265,DAL,2.0,2005,2.0
266,IND,2.0,2005,4.0
267,OKC,2.0,2005,1.0
268,WAS,2.0,2005,1.0
269,BOS,1.0,2005,0.0
270,BRK,1.0,2005,0.0
271,CHI,1.0,2005,0.0
272,DEN,1.0,2005,1.0
273,HOU,1.0,2005,1.0
274,MEM,1.0,2005,2.0
275,PHI,1.0,2005,0.0
276,SAC,1.0,2005,1.0
277,ATL,0.0,2005,0.0
278,CHO,0.0,2005,1.0
279,CLE,0.0,2005,0.0
280,GSW,0.0,2005,0.0
281,LAC,0.0,2005,1.0
282,LAL,0.0,2005,0.0
283,MIL,0.0,2005,1.0
284,MIN,0.0,2005,7.0
285,NOP,0.0,2005,0.0
286,NYK,0.0,2005,2.0
287,ORL,0.0,2005,0.0
288,POR,0.0,2005,1.0
289,TOR,0.0,2005,0.0
290,UTA,0.0,2005,1.0
291,MIA,10.0,2006,0.0
292,DAL,7.0,2006,2.0
293,DET,4.0,2006,10.0
294,PHO,4.0,2006,2.0
295,BRK,2.0,2006,2.0
296,CLE,2.0,2006,1.0
297,LAC,2.0,2006,10.0
298,SAS,2.0,2006,10.0
299,CHI,1.0,2006,0.0
300,DEN,1.0,2006,1.0
301,IND,1.0,2006,0.0
302,LAL,1.0,2006,1.0
303,MEM,1.0,2006,4.0
304,MIL,1.0,2006,0.0
305,SAC,1.0,2006,0.0
306,WAS,1.0,2006,0.0
307,ATL,0.0,2006,0.0
308,BOS,0.0,2006,2.0
309,CHO,0.0,2006,1.0
310,GSW,0.0,2006,0.0
311,HOU,0.0,2006,2.0
312,MIN,0.0,2006,1.0
313,NYK,0.0,2006,1.0
314,OKC,0.0,2006,0.0
315,ORL,0.0,2006,2.0
316,PHI,0.0,2006,1.0
317,POR,0.0,2006,0.0
318,TOR,0.0,2006,0.0
319,UTA,0.0,2006,0.0
320,NOP,0.0,2006,2.0
321,SAS,10.0,2007,4.0
322,CLE,7.0,2007,0.0
323,DET,4.0,2007,1.0
324,UTA,4.0,2007,1.0
325,BRK,2.0,2007,4.0
326,CHI,2.0,2007,0.0
327,GSW,2.0,2007,1.0
328,PHO,2.0,2007,4.0
329,DAL,1.0,2007,7.0
330,DEN,1.0,2007,10.0
331,HOU,1.0,2007,0.0
332,LAL,1.0,2007,1.0
333,MIA,1.0,2007,10.0
334,ORL,1.0,2007,1.0
335,TOR,1.0,2007,1.0
336,WAS,1.0,2007,1.0
337,ATL,0.0,2007,0.0
338,BOS,0.0,2007,0.0
339,CHO,0.0,2007,0.0
340,IND,0.0,2007,0.0
341,LAC,0.0,2007,1.0
342,MEM,0.0,2007,0.0
343,MIL,0.0,2007,0.0
344,MIN,0.0,2007,1.0
345,NYK,0.0,2007,2.0
346,OKC,0.0,2007,1.0
347,PHI,0.0,2007,1.0
348,POR,0.0,2007,1.0
349,SAC,0.0,2007,0.0
350,NOP,0.0,2007,0.0
351,BOS,10.0,2008,2.0
352,LAL,7.0,2008,4.0
353,DET,4.0,2008,4.0
354,SAS,4.0,2008,4.0
355,CLE,2.0,2008,0.0
356,NOP,2.0,2008,1.0
357,ORL,2.0,2008,4.0
358,UTA,2.0,2008,2.0
359,ATL,1.0,2008,0.0
360,DAL,1.0,2008,4.0
361,DEN,1.0,2008,10.0
362,HOU,1.0,2008,1.0
363,PHI,1.0,2008,1.0
364,PHO,1.0,2008,2.0
365,TOR,1.0,2008,1.0
366,WAS,1.0,2008,1.0
367,BRK,0.0,2008,2.0
368,CHO,0.0,2008,2.0
369,CHI,0.0,2008,0.0
370,GSW,0.0,2008,1.0
371,IND,0.0,2008,0.0
372,LAC,0.0,2008,0.0
373,MEM,0.0,2008,4.0
374,MIA,0.0,2008,4.0
375,MIL,0.0,2008,0.0
376,MIN,0.0,2008,0.0
377,NYK,0.0,2008,1.0
378,OKC,0.0,2008,2.0
379,POR,0.0,2008,0.0
380,SAC,0.0,2008,1.0
381,LAL,10.0,2009,2.0
382,ORL,7.0,2009,10.0
383,CLE,4.0,2009,4.0
384,DEN,4.0,2009,2.0
385,ATL,2.0,2009,0.0
386,BOS,2.0,2009,2.0
387,DAL,2.0,2009,1.0
388,HOU,2.0,2009,4.0
389,CHI,1.0,2009,0.0
390,DET,1.0,2009,4.0
391,MIA,1.0,2009,1.0
392,NOP,1.0,2009,0.0
393,PHI,1.0,2009,1.0
394,POR,1.0,2009,4.0
395,SAS,1.0,2009,2.0
396,UTA,1.0,2009,1.0
397,BRK,0.0,2009,1.0
398,CHO,0.0,2009,1.0
399,GSW,0.0,2009,7.0
400,IND,0.0,2009,1.0
401,LAC,0.0,2009,0.0
402,MEM,0.0,2009,0.0
403,MIL,0.0,2009,0.0
404,MIN,0.0,2009,1.0
405,NYK,0.0,2009,0.0
406,OKC,0.0,2009,1.0
