,Team,Actual_Score,Year,Predicted_Score
58,CHI,10.0,1998,4.271367362450449
64,OKC,2.0,1998,4.0713620216094135
72,PHO,1.0,1998,3.7993833402355355
61,LAL,4.0,1998,3.6545146895644365
59,UTA,7.0,1998,3.328310768183462
60,IND,4.0,1998,2.586768526683258
70,MIA,1.0,1998,2.508099399480238
68,CLE,1.0,1998,2.4497630439541522
66,ATL,1.0,1998,2.2973898923366116
67,BRK,1.0,1998,2.216949050775849
65,SAS,2.0,1998,2.208508491662517
63,NYK,2.0,1998,2.0698337837342553
62,CHO,2.0,1998,2.060059810697572
71,MIN,1.0,1998,1.8855011266446828
73,POR,1.0,1998,1.8827432764262975
74,BOS,0.0,1998,1.8809923435555866
86,WAS,0.0,1998,1.6654920700648983
69,HOU,1.0,1998,1.558577948172827
77,DET,0.0,1998,1.007458766307963
82,ORL,0.0,1998,0.8033501026125478
83,PHI,0.0,1998,0.7052078818619418
81,MIL,0.0,1998,0.6032679662874791
84,SAC,0.0,1998,0.23001118018533262
80,MEM,0.0,1998,0.09753804780080477
78,GSW,0.0,1998,-0.2860383999964551
75,DAL,0.0,1998,-0.6601280413044173
79,LAC,0.0,1998,-0.9924821729595226
85,TOR,0.0,1998,-1.335469835145501
76,DEN,0.0,1998,-2.169195823122183
87,SAS,10.0,1999,3.8225439245655437
94,UTA,2.0,1999,3.24142287489223
90,POR,4.0,1999,2.905096630951637
99,MIN,1.0,1999,2.4609066663317023
101,PHO,1.0,1999,2.447106795701517
100,ORL,1.0,1999,2.375637202010977
96,HOU,1.0,1999,2.333879036067086
102,SAC,1.0,1999,1.8366441654090897
95,DET,1.0,1999,1.7969553178879254
92,LAL,2.0,1999,1.7894551816207498
91,ATL,2.0,1999,1.7850730210336403
98,MIL,1.0,1999,1.722147017825984
97,MIA,1.0,1999,1.6505886816321969
93,PHI,2.0,1999,1.6288142197931412
89,IND,4.0,1999,1.5745634899043788
110,GSW,0.0,1999,1.2900621522325242
113,OKC,0.0,1999,1.0736439867842829
114,TOR,0.0,1999,0.9084981354306301
103,BOS,0.0,1999,0.7494835864774383
88,NYK,7.0,1999,0.6187508321730748
115,WAS,0.0,1999,0.25419705233083034
108,DAL,0.0,1999,0.20998461152172787
104,BRK,0.0,1999,0.19733106700615632
105,CHO,0.0,1999,0.056797442941034504
107,CLE,0.0,1999,-0.38745193808642053
109,DEN,0.0,1999,-0.8270992506292274
112,MEM,0.0,1999,-1.2342416932619373
111,LAC,0.0,1999,-1.6907457015398
106,CHI,0.0,1999,-2.211291009968319
116,LAL,10.0,2000,3.8276565593747978
119,POR,4.0,2000,3.556500657806899
122,PHO,2.0,2000,3.424289726903441
130,SAS,1.0,2000,3.0664434412497177
117,IND,7.0,2000,2.799378323864817
129,SAC,1.0,2000,2.661247497616532
123,UTA,2.0,2000,2.5939081461157634
121,PHI,2.0,2000,2.456237771226086
143,ORL,0.0,2000,2.438919776352315
127,MIN,1.0,2000,2.39569922979189
120,MIA,2.0,2000,2.367844665152851
124,CHO,1.0,2000,2.3538997397363026
126,MIL,1.0,2000,1.708524976099758
131,TOR,1.0,2000,1.532445494851582
118,NYK,4.0,2000,1.4074842194638206
